,Tot,C,P,G,Incident,Aircraft,Location,Phase,Airport,Distance,Date,Airline,sole_survivor,no_survivor,prev_deadliest,prev_deadliest_no_survivor,COM,EXG,EXS,INB,INH,MIL
236,90,8.0,82.0,0.0,Ethiopian Airlines Flight 409,Boeing 737-8AS,"Mediterranean, offNa'ameh, Lebanon",ICL,BEY,11 km (5.9 NM),2010-01-25,Ethiopian Airlines,0,1,0,0,1,0,0,0,0,0
237,90,5.0,85.0,0.0,One-Two-GO Airlines Flight 269,McDonnell Douglas MD-82,"Phuket, Thailand",LDG,HKT,,2007-09-16,One-Two-GO Airlines,0,0,0,0,1,0,0,0,0,0
238,90,7.0,83.0,0.0,Aeroflot Flight 5463,Tupolev Tu-134A,"Almaty,Kazakh SSR, USSR",APR,ALA,36 km (19 NM),1983-08-30,Aeroflot,0,1,0,0,1,0,0,0,0,0
239,90,8.0,82.0,0.0,Aeroflot Flight 411,Ilyushin Il-62M,"Mendeleyevo, Russian SFSR, USSR",ICL,SVO,11.4 km (6.2 NM),1982-07-06,Aeroflot,0,1,0,0,1,0,0,0,0,0
240,90,8.0,82.0,0.0,Aeroflot Flight 3843,Tupolev Tu-104A,"Almaty,Kazakh SSR, USSR",APR,ALA,3.5 km (1.9 NM),1977-01-13,Aeroflot,0,1,0,0,1,0,0,0,0,0
241,90,10.0,76.0,4.0,Japan Air Lines Flight 471,Douglas DC-8-53,"New Delhi, India",APR,DEL,c. 20 km (11 NM),1972-06-14,Japan Air Lines,0,0,0,0,1,0,0,0,0,0
242,90,5.0,85.0,0.0,Olympic Airways Flight 954,Douglas DC-6,"Keratea, Greece",APR,***,c. 23 km (12 NM),1969-12-08,Olympic Airways,0,1,0,0,1,0,0,0,0,0
243,89,8.0,81.0,0.0,Royal Saudi Air Force (453),Lockheed C-130E Hercules,"Medina, Saudi Arabia",ICL,MED,c. 1 km (0.54 NM),1980-09-14,Royal Saudi Air Force (453),0,1,0,0,0,0,0,0,0,1
244,89,6.0,83.0,0.0,Delta Air Lines Flight 723,McDonnell Douglas DC-9-31,"Boston, Massachusetts, U.S.",APR,BOS,1 km (0.54 NM),1973-07-31,Delta Air Lines,0,1,0,0,1,0,0,0,0,0
245,88,6.0,82.0,0.0,Aeroflot Flight 821,Boeing 737-505,"Perm, Russia",APR,PEE,11.5 km (6.2 NM),2008-09-14,Aeroflot,0,1,0,0,1,0,0,0,0,0
246,88,5.0,83.0,0.0,Alaska Airlines Flight 261,McDonnell Douglas MD-83,"Pacific Ocean, offAnacapa Island, California, U.S.",ENR,,,2000-01-31,Alaska Airlines,0,1,0,0,1,0,0,0,0,0
247,88,8.0,80.0,0.0,Iranian Air Force,Lockheed C-130 Hercules,"Mashhad, Iran",ENR,,,1997-03-13,Iranian Air Force,0,1,0,0,0,0,0,0,0,1
248,88,9.0,79.0,0.0,Trans World Airlines Flight 841,Boeing 707-331B,"Mediterranean, area ofCephalonia, Greece",ENR,,,1974-09-08,Trans World Airlines,0,1,0,0,0,0,0,1,0,0
249,88,5.0,83.0,0.0,Air Ferry DC-4 G-APYK,Douglas C-54 Skymaster,"Mont Canigou, France",ENR,,,1967-06-03,Air Ferry DC-4 G-APYK,0,1,0,0,1,0,0,0,0,0
250,87,5.0,82.0,0.0,Air Inter Flight 5148,Airbus A320-111,"Barr, France",APR,SXB,19.5 km (10.5 NM),1992-01-20,Air Inter,0,0,0,0,1,0,0,0,0,0
251,87,10.0,77.0,0.0,LOT Polish Airlines Flight 007,Ilyushin Il-62,"Warsaw, Poland",APR,WAW,0.86 km (0.46 NM),1980-03-14,LOT Polish Airlines,0,1,0,0,1,0,0,0,0,0
252,87,11.0,76.0,0.0,Nigeria Airways Flight 925,Vickers VC10,"Lagos, Nigeria",APR,LOS,13 km (7.0 NM),1969-11-20,Nigeria Airways,0,1,0,0,1,0,0,0,0,0
253,87,7.0,80.0,0.0,LAN Chile Flight 107,Douglas DC-6,"San Jose Volcano, Chile",ENR,,,1965-02-06,LAN Chile,0,1,0,0,1,0,0,0,0,0
254,87,9.0,78.0,0.0,Aeroflot Flight 721,Ilyushin Il-18V,"Yuzhno Sakhalinsk, Russian SFSR, USSR",APR,UUS,26 km (14 NM),1964-09-02,Aeroflot,0,0,0,0,1,0,0,0,0,0
255,87,5.0,82.0,0.0,US Air Force (50-0100),Douglas C-124A Globemaster II,"Moses Lake, Washington, U.S.",ICL,LRN,4 km (2.2 NM),1952-12-20,US Air Force (50-0100),0,0,1,0,0,0,0,0,0,1
256,86,6.0,79.0,1.0,Aviaco Flight 118,Sud Aviation SE 210 Caravelle 10R,"A Coruna, Spain",APR,LCG,11 km (5.9 NM),1973-08-13,Aviaco,0,1,0,0,1,0,0,0,0,0
257,86,7.0,79.0,0.0,Aeroflot Flight 03,Tupolev Tu-104A,"Yelabuga,Tatar ASSR, Russian SFSR, USSR",ENR,,,1962-09-03,Aeroflot,0,1,0,0,1,0,0,0,0,0
258,85,6.0,79.0,0.0,Tajikistan Airlines Flight 3183,Tupolev Tu-154B-1,"Sharjah, United Arab Emirates",APR,SHJ,13 km (7.0 NM),1997-12-15,Tajikistan Airlines,1,0,0,0,1,0,0,0,0,0
259,85,5.0,80.0,0.0,Braniff International Airways Flight 352,Lockheed L-188A Electra,"Dawson, Texas, U.S.",ENR,,,1968-05-03,Braniff International Airways,0,1,0,0,1,0,0,0,0,0
260,85,4.0,81.0,0.0,US Air Force C-123 (56-4376),Fairchild C-123B-18-FA Provider,"Tuy Hoa, Vietnam",ENR,,,1965-12-11,US Air Force C-123 (56-4376),0,1,0,0,0,0,0,0,0,1
261,85,4.0,81.0,0.0,Paradise Airlines Flight 901A,Lockheed L-049 Constellation,"Genoa, Nevada, U.S.",ENR,,,1964-03-01,Paradise Airlines,0,1,0,0,1,0,0,0,0,0
262,84,7.0,77.0,0.0,Aeroflot Flight 2808,Tupolev Tu-134A,"Andreevo,Ivanovo Oblast, Russia",APR,IWA,3 km (1.6 NM),1992-08-27,Aeroflot,0,1,0,0,1,0,0,0,0,0
263,84,0.0,84.0,0.0,Fuerza Aerea S and inista (265),Mil Mi-8TV,"San Andres de Bocay, Nicaragua",UNK,,,1982-12-09,Fuerza Aerea S and inista (265),0,0,0,0,0,0,0,0,0,1
264,84,12.0,72.0,0.0,US Air Force (60-0373),Boeing C-135 Stratolifter,"Santiago Canyon, California, U.S.",ENR,,,1965-06-25,US Air Force (60-0373),0,1,0,0,0,0,0,0,0,1
