,Auction,Num Bids,Eng,Lowest Bid,2_bid,3_bid,4_bid,5_bid,6_bid,7_bid,8_bid,9_bid,10_bid
280,24427,4,495000.0,392790.0,496690.0,595595.0,675220.0,,,,,,
281,24075,1,1232369.26,1232369.26,,,,,,,,,
282,22479,1,5284284.0,5284284.0,,,,,,,,,
283,22734,4,7959713.3,8665314.0,8843415.72,8948045.55,9184621.4,,,,,,
284,20787,6,2300000.0,2152785.9,2160531.5,2230812.3,2323994.5,2455083.0,2722131.0,,,,
285,24400,1,27642973.62,30593034.49,,,,,,,,,
286,24319,3,3513990.5,3246759.3,3306780.4,4236641.77,,,,,,,
287,23843,1,9775659.09,9775659.09,,,,,,,,,
288,21776,2,5700000.0,4636611.0,4887839.37,,,,,,,,
289,23495,7,5783532.6,4617588.27,4671634.36,5372195.22,5591738.15,6234412.66,9028697.91,9599841.35,,,
290,21324,5,11000000.0,12336881.0,13058000.0,13520528.2,14054767.8,14107570.8,,,,,
291,24491,2,328835.0,405363.9,507256.8,,,,,,,,
292,21866ra,2,2200000.0,2163761.4,2532551.36,,,,,,,,
293,22435,3,1265197.0,1247572.0,1307076.0,1385732.0,,,,,,,
294,20900,6,1316285.0,1231602.06,1324349.46,1413125.5,1531962.75,1589859.0,2406753.9,,,,
295,24381,2,819723.3,769386.25,997509.0,,,,,,,,
296,24507,3,2000000.0,1436047.7,1447482.28,1492110.8,,,,,,,
297,21982,3,4400000.0,5157481.9,5162000.0,5527456.0,,,,,,,
298,23126,3,8028109.1,6394977.35,6777161.05,9525039.9,,,,,,,
299,23425,3,3028810.0,2173763.5,2190556.0,2908402.84,,,,,,,
300,22839,3,7800000.0,7450048.0,7832765.35,8378486.0,,,,,,,
301,22476,2,2001445.0,2429999.84,2555000.0,,,,,,,,
302,24254,1,495000.0,539237.0,,,,,,,,,
303,21851,5,3528345.5,3519000.0,3805560.66,3970004.6,3995379.09,4334010.75,,,,,
304,21015,1,1349718.0,1568200.9,,,,,,,,,
305,21832,3,1200000.0,827581.25,917311.16,1172372.9,,,,,,,
306,22859,4,1650932.0,1127477.0,1242000.0,1343304.15,1609854.5,,,,,,
307,20895,3,1499132.0,1975896.5,1996779.81,2897963.62,,,,,,,
308,23421r,5,4600000.0,4148547.3,4208039.2,4475130.68,4556111.8,5110625.51,,,,,
309,23189,3,10000000.0,9731000.0,10714890.39,12400645.65,,,,,,,
310,22372,2,1005471.5,947425.8,1173622.61,,,,,,,,
311,24653,4,495000.0,467197.75,636415.0,663253.0,746590.0,,,,,,
312,19263,6,5442678.0,5353935.5,5497330.56,5973733.91,6183272.15,6379683.27,8239887.84,,,,
313,23668,4,1966050.0,1924290.0,2167000.0,2352132.8,2530293.82,,,,,,
314,22533,4,5053542.1,4882214.18,5037466.87,5140398.05,5992427.5,,,,,,
315,23676r,3,974160.0,1400899.0,1456762.1,1726642.7,,,,,,,
316,23653,5,400000.0,375686.0,397999.0,434434.2,463116.0,671506.0,,,,,
317,22495,3,2039000.0,2728344.0,2798206.0,3079145.77,,,,,,,
318,22975,1,4675088.0,5272554.68,,,,,,,,,
319,21861,3,1572275.5,1734605.84,1858267.1,1931466.35,,,,,,,
320,23522,7,25000000.0,26311514.56,26345703.16,27062135.31,27830709.44,29028600.0,32077901.0,33162021.0,,,
321,21854,2,6030686.0,5995456.29,7298115.38,,,,,,,,
322,24206,1,8443623.5,8482053.0,,,,,,,,,
323,23699,1,1087830.0,1135158.0,,,,,,,,,
324,23506,5,9347138.5,9098756.76,9362816.23,10170456.77,10623946.6,11941880.0,,,,,
325,22810,1,2900000.0,3289092.32,,,,,,,,,
326,20821,5,3403498.4,3225150.78,3329628.0,3575682.71,3847137.05,4103775.69,,,,,
327,24095,4,554410.0,450626.5,498185.4,529391.5,533009.0,,,,,,
328,24304,1,6470885.56,7041298.06,,,,,,,,,
329,23125,3,1803681.25,2777487.83,2982133.0,3399062.58,,,,,,,
330,22949,4,806390.0,839139.0,920224.0,941408.0,969898.0,,,,,,
331,23134,2,6840598.5,8716110.25,10376741.33,,,,,,,,
332,23673,6,11544450.2,9258933.37,11873729.37,12131124.35,12861964.36,13135492.88,13815921.0,,,,
333,22085,2,5950302.9,6242111.75,7986980.95,,,,,,,,
334,23280,5,2703090.0,2242550.0,2510177.73,2541677.4,2567336.0,2687230.0,,,,,
335,23037,4,1651359.0,1453444.63,1657477.0,1985210.0,2386584.5,,,,,,
336,22555,2,17032967.45,13545234.0,13562192.8,,,,,,,,
337,23062,2,2056923.0,2778251.0,3318899.5,,,,,,,,
338,23426,1,300000.0,121174.0,,,,,,,,,
339,20694,6,1351031.0,1412234.07,1608836.85,1627119.17,1946984.85,1993518.86,2378662.5,,,,
340,24074,4,2036655.0,2115675.0,2240875.0,2671172.5,2685317.5,,,,,,
341,20628,4,3263848.75,3165324.0,3644285.0,3982477.98,4055850.13,,,,,,
